Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,75.330002,75.400002,74.570000,74.669998,70.925804,990670
2019-03-05,74.500000,75.160004,74.400002,75.059998,71.296249,1167940
2019-03-06,74.209999,74.809998,73.610001,74.529999,70.792824,1277239
2019-03-07,73.800003,73.809998,72.300003,73.089996,69.425026,1980823
2019-03-08,72.000000,72.230003,71.410004,72.160004,68.541664,1634876
2019-03-11,72.250000,73.230003,71.919998,73.180000,69.510521,1357029
2019-03-12,73.699997,73.940002,72.760002,73.099998,69.434525,1243429
2019-03-13,72.839996,73.769997,72.830002,73.629997,69.937950,1117529
2019-03-14,73.739998,74.709999,73.510002,73.779999,70.080429,1541976
2019-03-15,74.220001,75.180000,72.769997,74.089996,70.374886,4131566
2019-03-18,74.300003,74.419998,73.900002,74.169998,70.450874,954628
2019-03-19,74.139999,76.500000,74.099998,75.720001,71.923157,1907389
2019-03-20,75.910004,75.910004,71.279999,71.980003,68.370689,4291080
2019-03-21,71.809998,72.389999,70.830002,71.150002,67.582314,1763972
2019-03-22,71.250000,71.419998,69.180000,69.599998,66.110031,3025563
2019-03-25,69.000000,69.690002,68.779999,68.919998,65.464127,1544865
2019-03-26,68.889999,68.930000,67.910004,67.910004,64.504776,2153100
2019-03-27,68.500000,68.949997,67.730003,68.230003,64.808731,1876013
2019-03-28,67.989998,68.589996,67.739998,67.889999,64.485771,1416893
2019-03-29,68.459999,68.989998,68.059998,68.750000,65.302650,1887263
2019-04-01,69.639999,70.629997,69.589996,69.699997,66.205009,2396741
2019-04-02,69.730003,71.919998,69.680000,71.250000,67.677292,2622991
2019-04-03,72.099998,72.870003,72.000000,72.580002,68.940605,2166661
2019-04-04,72.250000,73.849998,72.150002,73.339996,69.662491,2168174
2019-04-05,73.470001,74.139999,73.470001,73.790001,70.089928,1427259
2019-04-08,72.389999,73.730003,72.290001,73.570000,69.880959,1325909
2019-04-09,73.129997,74.059998,72.889999,73.199997,69.529510,1281897
2019-04-10,72.940002,73.580002,72.889999,73.190002,69.520020,1264318
2019-04-11,73.330002,73.839996,72.769997,73.510002,69.823975,1287851
2019-04-12,73.000000,75.540001,72.639999,75.290001,71.514717,2612728
2019-04-15,75.129997,75.989998,74.910004,75.650002,71.856667,1175155
2019-04-16,76.000000,76.680000,75.730003,76.400002,72.569061,1587145
2019-04-17,77.099998,78.040001,76.309998,77.250000,73.376434,2357190
2019-04-18,77.199997,78.300003,76.849998,77.750000,73.851364,2868292
2019-04-23,77.750000,78.190002,77.410004,77.500000,73.613899,1139985
2019-04-24,76.400002,77.269997,75.889999,76.470001,72.635544,1779199
2019-04-25,76.320000,76.559998,75.769997,75.779999,71.980141,1453960
2019-04-26,75.910004,76.459999,75.570000,76.199997,72.379082,1289602
2019-04-29,76.160004,76.760002,75.790001,75.889999,72.084625,899246
2019-04-30,75.510002,75.900002,75.190002,75.900002,72.094131,1217765
2019-05-02,75.690002,76.779999,75.480003,75.800003,71.999146,1694344
2019-05-03,75.529999,75.800003,75.260002,75.669998,71.875656,1047600
2019-05-06,73.019997,74.019997,72.160004,74.000000,70.289398,2560420
2019-05-07,73.500000,73.750000,71.430000,72.279999,68.655647,2524460
2019-05-08,71.610001,71.800003,69.910004,71.379997,67.800774,2863706
2019-05-09,70.910004,70.980003,68.690002,69.300003,65.825073,3095227
2019-05-10,69.879997,70.120003,68.639999,68.870003,65.416641,3311601
2019-05-13,68.800003,68.800003,67.029999,68.059998,64.647247,2857093
2019-05-14,68.669998,68.699997,67.419998,67.879997,64.476273,2065886
2019-05-15,68.300003,71.300003,66.529999,70.000000,66.489975,4082038
2019-05-16,70.040001,70.570000,68.930000,69.800003,66.300003,3459647
2019-05-17,66.529999,66.690002,65.070000,66.160004,66.160004,3285738
2019-05-20,66.260002,66.489998,64.209999,64.809998,64.809998,2335299
2019-05-21,65.080002,65.580002,64.260002,64.629997,64.629997,1678585
2019-05-22,64.730003,64.949997,63.459999,64.230003,64.230003,1972263
2019-05-23,63.230000,63.660000,62.759998,63.389999,63.389999,2323587
2019-05-24,64.029999,64.330002,63.330002,63.470001,63.470001,1678062
2019-05-27,64.550003,64.980003,63.340000,63.759998,63.759998,1328854
2019-05-28,64.000000,64.599998,63.599998,63.840000,63.840000,1653216
2019-05-29,63.230000,63.459999,62.880001,63.150002,63.150002,1499372
2019-05-30,63.320000,63.650002,62.860001,63.049999,63.049999,799538
2019-05-31,61.820000,62.150002,61.410000,62.020000,62.020000,2000917
2019-06-03,61.700001,61.880001,61.139999,61.639999,61.639999,1838410
2019-06-04,61.560001,63.709999,61.320000,63.430000,63.430000,2567653
2019-06-05,63.430000,63.590000,62.330002,63.020000,63.020000,1484186
2019-06-06,62.650002,63.259998,61.730000,62.340000,62.340000,1947794
2019-06-07,62.720001,62.790001,62.009998,62.320000,62.320000,1249390
2019-06-11,62.830002,63.680000,62.299999,62.980000,62.980000,1922832
2019-06-12,62.590000,62.930000,62.400002,62.639999,62.639999,1230534
2019-06-13,62.299999,63.049999,61.849998,62.779999,62.779999,1198900
2019-06-14,62.580002,62.660000,62.040001,62.459999,62.459999,1115793
2019-06-17,62.630001,62.860001,62.099998,62.099998,62.099998,1211681
2019-06-18,62.349998,63.930000,61.660000,63.610001,63.610001,2545539
2019-06-19,63.509998,64.500000,63.400002,64.199997,64.199997,1348744
2019-06-20,64.680000,65.029999,64.410004,64.559998,64.559998,1722902
2019-06-21,64.500000,64.779999,64.250000,64.440002,64.440002,3721158
2019-06-24,64.099998,64.220001,63.340000,63.639999,63.639999,1857142
2019-06-25,63.299999,63.660000,63.060001,63.150002,63.150002,1400333
2019-06-26,62.810001,64.750000,62.770000,64.570000,64.570000,2259169
2019-06-27,64.610001,65.620003,64.610001,64.849998,64.849998,2436122
2019-06-28,65.160004,65.330002,64.389999,65.089996,65.089996,2059202
2019-07-01,66.519997,67.040001,65.099998,65.099998,65.099998,2156223
2019-07-02,65.209999,65.750000,64.720001,65.330002,65.330002,1360771
2019-07-03,65.419998,66.629997,65.180000,66.610001,66.610001,2094683
2019-07-04,66.440002,67.470001,66.440002,67.110001,67.110001,1641200
2019-07-05,67.290001,67.410004,66.589996,67.050003,67.050003,1332435
2019-07-08,66.610001,67.410004,66.480003,66.699997,66.699997,1091683
2019-07-09,66.349998,66.500000,65.250000,66.169998,66.169998,1823803
2019-07-10,65.589996,66.209999,65.489998,65.650002,65.650002,1386605
2019-07-11,65.750000,65.910004,64.970001,65.239998,65.239998,1354084
2019-07-12,64.260002,66.559998,64.239998,65.889999,65.889999,2408683
2019-07-15,66.169998,67.160004,66.160004,66.660004,66.660004,1620709
2019-07-16,66.650002,67.190002,66.480003,67.120003,67.120003,1356106
2019-07-17,67.010002,67.150002,66.349998,66.349998,66.349998,1025202
2019-07-18,66.150002,66.430000,65.760002,66.150002,66.150002,1339503
2019-07-19,66.410004,67.330002,66.389999,66.570000,66.570000,1642181
2019-07-22,66.660004,67.010002,66.470001,66.769997,66.769997,844578
2019-07-23,67.470001,70.000000,67.349998,69.339996,69.339996,3530566
2019-07-24,69.180000,70.389999,68.510002,70.010002,70.010002,2056967
2019-07-25,70.300003,70.559998,68.050003,68.949997,68.949997,2011871
2019-07-26,69.269997,69.309998,68.419998,68.669998,68.669998,1265670
2019-07-29,68.339996,68.349998,67.839996,68.290001,68.290001,908630
2019-07-30,68.540001,68.540001,66.629997,67.110001,67.110001,1560448
2019-07-31,67.110001,67.320000,66.660004,66.830002,66.830002,1494495
2019-08-01,67.000000,67.970001,66.900002,67.489998,67.489998,1545801
2019-08-02,65.800003,66.190002,63.700001,64.650002,64.650002,3893077
2019-08-05,63.299999,64.029999,62.689999,63.340000,63.340000,2151237
2019-08-06,63.349998,63.610001,62.259998,62.259998,62.259998,1779024
2019-08-07,62.700001,63.169998,61.580002,62.110001,62.110001,1702435
2019-08-08,62.840000,62.840000,62.000000,62.529999,62.529999,1346719
2019-08-09,62.200001,62.349998,60.619999,61.029999,61.029999,2253975
2019-08-12,61.259998,61.709999,60.500000,60.830002,60.830002,1084603
2019-08-13,60.500000,62.040001,59.599998,61.040001,61.040001,2178685
2019-08-14,61.099998,61.099998,59.299999,59.599998,59.599998,1972805
2019-08-15,59.759998,59.799999,58.040001,58.820000,58.820000,1934815
2019-08-16,59.020000,59.639999,58.860001,59.560001,59.560001,1625628
2019-08-19,60.230000,60.779999,59.889999,60.360001,60.360001,1283004
2019-08-20,60.349998,60.580002,59.560001,59.740002,59.740002,1009171
2019-08-21,59.790001,61.080002,59.770000,60.590000,60.590000,1230630
2019-08-22,60.320000,61.180000,60.180000,60.610001,60.610001,1095714
2019-08-23,60.810001,61.209999,58.610001,58.700001,58.700001,2753250
2019-08-26,58.810001,59.849998,58.509998,59.570000,59.570000,1613088
2019-08-27,59.680000,60.389999,59.270000,59.490002,59.490002,1777471
2019-08-28,59.490002,59.740002,58.750000,59.720001,59.720001,1292671
2019-08-29,59.580002,60.340000,59.349998,60.169998,60.169998,986990
2019-08-30,60.139999,61.209999,60.139999,60.810001,60.810001,1305155
2019-09-02,60.500000,60.820000,60.310001,60.529999,60.529999,653443
2019-09-03,60.400002,60.680000,60.009998,60.400002,60.400002,1149468
2019-09-04,61.200001,61.599998,61.000000,61.090000,61.090000,1245575
2019-09-05,61.900002,62.650002,61.700001,62.320000,62.320000,1575151
2019-09-06,62.570000,63.110001,61.740002,62.320000,62.320000,1815948
2019-09-09,62.240002,63.250000,62.160000,63.220001,63.220001,1478796
2019-09-10,63.310001,64.430000,63.250000,63.770000,63.770000,1713536
2019-09-11,64.199997,64.690002,63.490002,63.810001,63.810001,1587322
2019-09-12,63.730000,64.879997,63.720001,64.639999,64.639999,2105544
2019-09-13,64.620003,65.620003,64.620003,65.059998,65.059998,1900375
2019-09-16,64.370003,65.260002,64.260002,65.099998,65.099998,1241317
2019-09-17,64.790001,64.870003,63.540001,64.529999,64.529999,1599792
2019-09-18,64.529999,64.870003,64.239998,64.550003,64.550003,860078
2019-09-19,64.500000,65.089996,64.169998,64.989998,64.989998,1288454
2019-09-20,65.120003,65.589996,64.940002,65.150002,65.150002,2805109
2019-09-23,64.870003,64.879997,63.480000,64.000000,64.000000,1684528
2019-09-24,64.010002,64.250000,63.580002,63.680000,63.680000,1141691
2019-09-25,63.349998,63.930000,62.549999,63.380001,63.380001,1429563
2019-09-26,63.240002,63.790001,62.990002,63.090000,63.090000,854203
2019-09-27,63.230000,63.980000,63.160000,63.889999,63.889999,995694
2019-09-30,63.779999,64.720001,63.660000,64.589996,64.589996,1376059
2019-10-01,64.900002,65.720001,64.320000,64.379997,64.379997,1490390
2019-10-02,64.180000,64.419998,63.020000,63.160000,63.160000,1812509
2019-10-04,63.150002,63.150002,61.610001,62.389999,62.389999,2081126
2019-10-07,62.040001,62.680000,61.400002,62.680000,62.680000,920763
2019-10-08,62.889999,62.980000,61.369999,61.860001,61.860001,1279594
2019-10-09,61.869999,62.650002,61.430000,62.349998,62.349998,963927
2019-10-10,62.520000,63.520000,62.320000,63.230000,63.230000,1879248
2019-10-11,63.360001,64.970001,63.119999,64.779999,64.779999,1873353
2019-10-14,64.699997,65.019997,63.959999,64.910004,64.910004,1130261
2019-10-15,65.430000,66.889999,65.080002,66.629997,66.629997,2022085
2019-10-16,66.690002,67.629997,66.550003,67.129997,67.129997,2049837
2019-10-17,66.900002,68.730003,66.790001,67.910004,67.910004,2431903
2019-10-18,67.169998,68.110001,66.870003,67.410004,67.410004,1787929
2019-10-21,67.459999,68.309998,67.459999,67.839996,67.839996,1091764
2019-10-22,67.970001,68.529999,67.839996,68.470001,68.470001,1444956
2019-10-23,68.019997,69.110001,67.900002,68.660004,68.660004,1364209
2019-10-24,69.000000,70.150002,68.940002,69.029999,69.029999,1649269
2019-10-25,69.019997,69.680000,68.709999,69.430000,69.430000,1431448
2019-10-28,69.599998,70.540001,69.559998,69.889999,69.889999,1214530
2019-10-29,69.900002,70.169998,69.370003,69.830002,69.830002,1153752
2019-10-30,69.830002,70.300003,68.809998,69.290001,69.290001,1372249
2019-10-31,69.519997,69.839996,67.959999,68.709999,68.709999,1892386
2019-11-01,68.889999,69.699997,68.690002,69.440002,69.440002,1420786
2019-11-04,70.900002,71.709999,70.389999,71.599998,71.599998,2670336
2019-11-05,71.849998,73.169998,71.730003,72.800003,72.800003,2576811
2019-11-06,72.800003,73.629997,71.650002,73.510002,73.510002,2090113
2019-11-07,74.089996,75.180000,74.000000,74.449997,74.449997,2362035
2019-11-08,74.650002,75.510002,74.379997,75.040001,75.040001,2154769
2019-11-11,74.570000,75.230003,74.180000,75.029999,75.029999,1308208
2019-11-12,75.199997,75.879997,74.870003,74.870003,74.870003,1123366
2019-11-13,74.339996,74.559998,73.050003,73.660004,73.660004,1481974
2019-11-14,73.239998,73.750000,72.730003,73.410004,73.410004,1506830
2019-11-15,73.889999,74.580002,73.660004,74.550003,74.550003,1851755
